name,description,implementation_status,effect_level,version,rank
GeoIdentify,,🚫,,10.0,2503
HilbertMatrix,Generate a Hilbert matrix of given size,✅,1,6.0,2503
MenuSortingValue,,🚫,,8.0,2503
Messages,Returns the messages associated with a symbol,✅,pure,1.0,2503
MorphologicalPerimeter,,🚫,,7.0,2503
BooleanMinimize,Find the minimal sum-of-products Boolean expression; terms are ordered by their literal pattern,✅,pure,7.0,2509
ChiDistribution,represents a chi distribution with n degrees of freedom,✅,none,6.0,2509
CloudPublish,,🚫,,10.2,2509
Glaisher,Glaisher-Kinkelin constant,✅,none,4.0,2509
ListCurvePathPlot,,🚫,,7.0,2509
Bookmarks,Option for bookmarked settings in Manipulate,✅,pure,7.0,2512
SliceDensityPlot3D,,🚫,,10.2,2512
StringRepeat,Repeats a string a number of times optionally truncated to a given length,✅,pure,10.1,2512
BracketingBar,,🚫,,3.0,2514
StartProcess,,🚫,,10.0,2514
DivisorSum,Applies a function to each divisor and sums the results,✅,pure,7.0,2519
EdgeLabelStyle,,🚫,,8.0,2519
EllipticLog,Symbol for elliptic logarithm function,✅,pure,1.0,2519
FinancialBond,,🚫,,8.0,2519
StableDistribution,Stable distribution with PDF/CDF for Cauchy and Normal special cases,✅,pure,8.0,2519
AngerJ,Anger function AngerJ[nu z] which equals BesselJ for integer orders,✅,pure,7.0,2525
LineGraph,Line graph: one vertex per edge with adjacency for shared endpoints,✅,pure,8.0,2525
LocalizeVariables,,🚫,,6.0,2525
MaxFilter,Replace each element by the maximum of its radius-r neighborhood (1D/2D lists and images),✅,pure,7.0,2525
StringReplaceList,List of all single replacements in a string — one result per individual match of any rule (threading over a list of strings; supports pattern rules a count limit and the IgnoreCase option),✅,pure,5.1,2525
VarianceEstimatorFunction,,🚫,,7.0,2525
DeviceOpen,,🚫,,10.0,2528
InverseWeierstrassP,Inverse Weierstrass elliptic function,✅,pure,3.0,2528
Upsample,Upsample a list by inserting zeros,✅,none,9.0,2528
DEigensystem,,🚫,,10.3,2533
DiscreteWaveletPacketTransform,Full-tree discrete wavelet packet transform,✅,pure,8.0,2533
MengerMesh,,🚫,,11.1,2533
PolynomialLCM,Least common multiple of polynomials,✅,pure,2.0,2533
TensorWedge,Exterior (wedge) product of vectors/tensors,✅,pure,9.0,2533
SmithDecomposition,gives the Smith normal form decomposition of an integer matrix,✅,none,10.2,2535
SpheroidalPS,,🚫,,6.0,2535
AsymptoticSolve,Find asymptotic solutions to equations near a point,✅,pure,12.0,2541
CandlestickChart,,🚫,,8.0,2541
ListFourierSequenceTransform,Discrete-time Fourier transform of a list sequence,✅,pure,9.0,2541
LogitModelFit,Logistic regression model fitting via IRLS,✅,pure,7.0,2541
NumberPoint,Option for the NumberForm family giving the string used for the decimal point,✅,pure,1.0,2541
WindowFrameElements,,🚫,,4.0,2541
ChromaticPolynomial,gives the chromatic polynomial of a graph in the variable k,✅,none,10.0,2545
EndOfLine,string pattern for end of line,✅,Symbolic,5.1,2545
Pyramid,Square pyramid region primitive with volume centroid and surface area,✅,pure,10.0,2545
TextStructure,,🚫,,10.3,2545
ChessboardDistance,Chessboard (Chebyshev) distance between points,✅,none,6.0,2549
DiscreteConvolve,Discrete convolution of two sequences,✅,pure,7.0,2549
Operate,Applies a function to the head of an expression,✅,pure,1.0,2549
SpheroidalS1,,🚫,,6.0,2549
CancelButton,,🚫,,6.0,2553
FourierSinTransform,Fourier sine transform of a function,✅,pure,4.0,2553
Paste,Paste from clipboard (UI function),🚫,UI,8.0,2553
RenameFile,renames a file,✅,FileSystem,2.0,2553
FileNameDrop,Drop path components from a file name,✅,none,7.0,2554
ArrayResample,Resample every axis of an array to a given number of points by linear interpolation,✅,pure,10.0,2557
RowLines,option for grid formatting row lines,✅,Symbolic,3.0,2557
Underflow,Symbol representing arithmetic underflow,✅,pure,1.0,2557
InterpretationFunction,,🚫,,12.2,2561
RandomWalkProcess,,🚫,,9.0,2561
RegionEqual,Tests whether geometric regions are equal by normalizing to canonical forms and comparing,✅,pure,11.1,2561
SymmetricPolynomial,Compute elementary symmetric polynomial,✅,none,6.0,2561
CellFrameLabels,,🚫,,4.0,2565
DeleteContents,option for DeleteDirectory,✅,Symbolic,2.0,2565
PaletteNotebook,,🚫,,6.0,2565
ValueDimensions,Option symbol specifying the number of value dimensions in temporal data,✅,pure,10.0,2565
AdjustmentBox,,🚫,,3.0,2570
ButtonBar,Row of buttons with held actions (stays symbolic in script mode),✅,unevaluated,7.0,2570
ColumnSpacings,option for column spacing in grids,✅,Symbolic,3.0,2570
DiagonalizableMatrixQ,Test whether a matrix is diagonalizable,✅,none,10.0,2570
StreamPosition,Returns the current position in an open stream,✅,io,2.0,2570
CountDistinct,Count distinct elements of a list or an association's values under an optional sameness test,✅,pure,10.0,2578
CriterionFunction,option specifying criterion function,✅,Symbolic,10.4,2578
CrossMatrix,Gives the n-dimensional cross structuring element for a numeric radius or list of radii,✅,pure,7.0,2578
DateInterval,Creates an interval between two dates with normalized date list representation,✅,pure,12.1,2578
DeleteBorderComponents,,🚫,,8.0,2578
EqualTo,Operator form of Equal,✅,none,10.3,2578
SubstitutionSystem,Applies substitution rules iteratively to sequences strings or grids,✅,pure,10.2,2578
XMLTemplate,Reads an XML template string or file and yields a TemplateObject,✅,effectful,10.0,2578
BorderDimensions,,🚫,,8.0,2587
CensoredDistribution,Distribution with values clamped to an interval,✅,pure,8.0,2587
FromDMS,Convert degrees-minutes-seconds to decimal degrees,✅,none,7.0,2587
HermitianMatrixQ,Test whether a matrix is Hermitian,✅,none,6.0,2587
IntervalMarkers,option for interval markers in plots,✅,Symbolic,12.0,2587
SetSharedFunction,,🚫,,7.0,2587
TimeSeriesMap,Applies a function to every value of a series keeping the time stamps,✅,pure,10.0,2587
WeberE,Weber function E_nu(z); exact closed form (polynomial over Pi minus StruveH) for integer order; numerical quadrature otherwise,✅,pure,7.0,2587
WignerD,Wigner D-matrix elements for rotation group representations,✅,pure,8.0,2587
ByteArray,Creates a byte array from a list of unsigned byte values or a Base64-encoded string,✅,pure,10.1,2591
FrenetSerretSystem,Compute the Frenet-Serret system (curvatures and orthonormal frame) for a parametric curve,✅,pure,10.0,2591
NumericalSort,Sorts a list by the numeric value of its elements,✅,pure,11.1,2591
Transliterate,Transliterate text in other writing scripts to plain Latin/ASCII characters,✅,pure,10.3,2591
AnyOrder,grammar pattern for any order,✅,Symbolic,10.1,2596
ConstantImage,Create a constant image filled with a specified color or gray level,✅,pure,10.0,2596
Decrypt,,🚫,,10.1,2596
ImageForwardTransformation,,🚫,,8.0,2596
NetMapOperator,,🚫,,11.1,2596
DayCount,Count days (or occurrences of a given weekday) between two dates,✅,pure,9.0,2605
ExpandNumerator,Expands the numerator of a rational expression,✅,pure,1.0,2605
ExpressionGraph,Create a graph from the tree structure of an expression,✅,pure,12.1,2605
ImageDifference,Absolute difference of two images of the same size sample by sample,✅,pure,8.0,2605
InverseGammaDistribution,represents an inverse gamma distribution,✅,Computation,7.0,2605
LetterCounts,Counts letter occurrences in a string (or each string of a list); two-arg form counts letter n-grams (non-letters break the window),✅,pure,10.1,2605
NArgMin,Numerically finds the argument that minimizes an expression optionally subject to constraints given as {f cons} with a single variable or a variable list,✅,None,7.0,2605
VertexOutComponent,Vertices reachable from a vertex,✅,1,8.0,2605
ViewProjection,,🚫,,11.2,2605
ArrayMesh,Create a MeshRegion from a binary 1D or 2D array,✅,pure,10.4,2611
ForwardBackward,Symbolic value for AnimationDirection option (forward then backward),✅,pure,6.0,2611
KaryTree,K-ary tree graph,✅,1,8.0,2611
LogisticDistribution,represents a logistic distribution,✅,pure,6.0,2611
MultiplySides,Multiply both sides of an equation by an expression; a symbolic factor is guarded by c != 0 via Piecewise; an equation second argument pairs the sides,✅,none,11.3,2611
URLShorten,,🚫,,10.0,2611
DistributionParameterQ,Tests whether the parameters of a distribution are valid,✅,pure,8.0,2617
PlanarAngle,Planar angle at a vertex from the list form {q1 p q2} or the vertex-rule form p -> {q1 q2} (2-D only),✅,pure,12.0,2617
PrivateFontOptions,,🚫,,3.0,2617
StarGraph,Star graph with n vertices,✅,1,8.0,2617
Toggler,Toggler control element (stays symbolic in script mode),✅,unevaluated,6.0,2617
GraphDiameter,Maximum shortest path distance,✅,1,8.0,2625
ImageCorners,,🚫,,9.0,2625
Inpaint,,🚫,,8.0,2625
KernelObject,,🚫,,7.0,2625
ListVectorPlot3D,,🚫,,7.0,2625
PairedHistogram,,🚫,,8.0,2625
SequenceLastLayer,,🚫,,11.1,2625
SquaresR,Number of representations as sum of squares,✅,none,6.0,2625
CellObject,,🚫,,9.0,2632
FindArgMax,Find argument that maximizes a function,✅,none,7.0,2632
GreaterThan,Operator form of Greater,✅,none,10.3,2632
IncludeConstantBasis,option for including constant basis,✅,Symbolic,7.0,2632
IntervalMarkersStyle,option for interval marker style,✅,Symbolic,12.0,2632
Opening,Morphological opening (erosion followed by dilation),✅,pure,7.0,2632
Subsequences,Returns all contiguous subsequences of a list,✅,pure,10.4,2632
GraphPropertyDistribution,Distribution of a graph property over a graph distribution,✅,1,9.0,2635
HatchFilling,option for hatch filling in plots,✅,Symbolic,12.1,2635
TagUnset,Removes an upvalue assignment associated with a tag symbol,✅,stateful,1.0,2635
CDFDeploy,,🚫,,8.0,2642
FourierMatrix,Discrete Fourier transform matrix,✅,1,9.0,2642
RecurrenceFilter,Apply an IIR/FIR recurrence filter to data,✅,pure,9.0,2642
SpheroidalS2,,🚫,,6.0,2642
SubtractSides,Subtract an expression from both sides of an equation; one-arg form subtracts the rhs giving lhs-rhs==0; an equation second argument pairs the sides,✅,none,11.3,2642
Uninstall,,🚫,,2.0,2642
CantorMesh,Create a 1D or 2D Cantor set mesh at a given level of iteration,✅,pure,11.1,2650
Capitalize,Capitalizes letters in a string (first word or AllWords/FirstWord/LongWords),✅,pure,10.1,2650
GeoCenter,,🚫,,10.0,2650
HeaderLines,option for header lines in imports,✅,Symbolic,10.0,2650
IntersectingQ,Test whether two lists share any element,✅,pure,10.0,2650
LatticeReduce,LLL lattice basis reduction,✅,pure,1.0,2650
Splice,Splice a list into an enclosing list,✅,1,12.1,2650
StateFeedbackGains,Requires control systems framework (StateSpaceModel),🚫,None,8.0,2650
GeoDisplacement,,🚫,,10.0,2656
InverseChiSquareDistribution,represents an inverse chi-square distribution,✅,Computation,7.0,2656
MeijerGReduce,Requires deep Meijer G-function theory,🚫,None,11.0,2656
SelfLoopStyle,option for self-loop style in graphs,✅,Symbolic,6.0,2656
StringPart,Extracts characters from a string by index,✅,pure,11.0,2656
TransformationFunction,Represents a geometric transformation as a homogeneous matrix,✅,pure,6.0,2656
DatabinAdd,,🚫,,10.0,2662
DihedralGroup,Symbolic dihedral group of order 2n; stays unevaluated and is consumed by GroupOrder/GroupGenerators/GroupElements,✅,unevaluated,8.0,2662
DistributedContexts,,🚫,,8.0,2662
FunctionContinuous,Test whether a function is continuous,✅,1,12.2,2662
ScaleDivisions,option for scale divisions,✅,Symbolic,9.0,2662
SliceVectorPlot3D,,🚫,,10.2,2662
CirculantGraph,Circulant graph on n vertices with given jumps,✅,pure,8.0,2671
ColumnAlignments,option for column alignments in grids,✅,Symbolic,3.0,2671
ExtentElementFunction,option for extent element function,✅,Symbolic,8.0,2671
ExtremeValueDistribution,represents an extreme value distribution,✅,Computation,6.0,2671
FrechetDistribution,represents a Frechet distribution,✅,Computation,8.0,2671
InverseGaussianDistribution,represents an inverse Gaussian distribution,✅,Computation,6.0,2671
LocalAdaptiveBinarize,Requires image processing framework,🚫,io,10.0,2671
MaxFeatures,,🚫,,9.0,2671
TuttePolynomial,Compute the Tutte polynomial of a graph,✅,1,10.0,2671
ConicHullRegion,Represents a conic hull region,✅,pure,10.0,2675
KnightTourGraph,graph of knight moves on a chessboard,✅,Computation,8.0,2675
LinkCreate,,🚫,,3.0,2675
LocationTest,perform a one- or two-sample t-test for location,✅,none,8.0,2675
FindPermutation,Permutation mapping one list to another (to its sorted form when given one list),✅,pure,8.0,2679
HitMissTransform,,🚫,,7.0,2679
Symmetrize,Projects an array onto a tensor symmetry as a SymmetrizedArray — Symmetric Antisymmetric Hermitian or ZeroSymmetric over any set of slots (defaulting to full symmetry),✅,pure,9.0,2679
ViewMatrix,,🚫,,6.0,2679
DiscreteAsymptotic,compute leading asymptotic term of a discrete sequence,✅,none,12.1,2688
FullGraphics,Converts graphics primitives to explicit coordinates,✅,pure,2.0,2688
Hyperplane,Represents a hyperplane defined by a normal vector and offset,✅,pure,10.2,2688
InstallService,,🚫,,6.0,2688
Likelihood,compute the likelihood function for a distribution and data,✅,none,8.0,2688
Subset,represents a subset relation,✅,Symbolic,3.0,2688
ToEntity,,🚫,,10.0,2688
Tomorrow,Returns a DateObject representing the next calendar day,✅,contextual,10.0,2688
Update,Symbol for updating objects,✅,pure,1.0,2688
AbelianGroup,Represents an abelian group specified by invariant factors,✅,pure,8.0,2693
DelimitedSequence,Represents a delimited sequence of expressions,✅,pure,10.0,2693
NotebookImport,,🚫,,10.1,2693
TargetUnits,option for target units,✅,Symbolic,9.0,2693
TrimmedMean,Mean after dropping the lowest and highest Floor[f n] values (default f 0.05),✅,pure,6.0,2693
CellOpen,,🚫,,3.0,2698
EmbeddingLayer,,🚫,,11.0,2698
GeoZoomLevel,,🚫,,10.0,2698
Khinchin,Khinchin constant,✅,Computation,4.0,2698
SystemInformation,,🚫,,6.0,2698
CellFrameColor,,🚫,,4.0,2707
GaugeMarkers,,🚫,,9.0,2707
GroupGenerators,give generators of a group,✅,none,8.0,2707
Longitude,extract longitude from a geo position,✅,none,7.0,2707
MeanShiftFilter,,🚫,,8.0,2707
PrintingStyleEnvironment,,🚫,,3.0,2707
ShowAutoStyles,,🚫,,4.0,2707
SpheroidalEigenvalue,,🚫,,6.0,2707
WattsStrogatzGraphDistribution,Watts-Strogatz small-world graph distribution,,unevaluated,8.0,2707
DictionaryWordQ,Tests whether a string is a recognized dictionary word,✅,pure,10.4,2712
GompertzMakehamDistribution,represents a Gompertz-Makeham distribution,✅,Computation,8.0,2712
LinearGradientFilling,Specifies a linear gradient color filling for graphics,✅,pure,12.2,2712
TravelDistance,,🚫,,10.3,2712
WordTranslation,,🚫,,10.3,2712
Environment,Symbol representing the system environment,✅,pure,1.0,2720
ExactNumberQ,Tests if an expression is an exact number,✅,pure,4.0,2720
LiftingWaveletTransform,Lifting wavelet transform with exact results for exact input,✅,pure,8.0,2720
MultivariatePoissonDistribution,Represents a multivariate Poisson distribution,✅,pure,8.0,2720
SpheroidalQS,,🚫,,6.0,2720
TemplateSlot,Represents a template slot for string templates,✅,pure,10.0,2720
TextureCoordinateScaling,,🚫,,8.0,2720
CellEpilog,,🚫,,6.0,2723
DialogNotebook,,🚫,,6.0,2723
WaveletThreshold,Threshold wavelet coefficients in discrete wavelet data,✅,pure,8.0,2723
DotEqual,dot-equal symbol,✅,Symbolic,3.0,2729
EntityTypeName,,🚫,,10.0,2729
LatitudeLongitude,extract latitude and longitude from a geo position,✅,none,7.0,2729
QHypergeometricPFQ,q-analogue of the generalized hypergeometric function,🚫,,7.0,2729
ScrollPosition,,🚫,,7.0,2729
TraceDepth,Option controlling depth of tracing in Trace,✅,pure,2.0,2729
FinishDynamic,,🚫,,6.0,2734
GeoRangePadding,,🚫,,10.0,2734
NumberMarks,option for number marks,✅,Symbolic,3.0,2734
PearsonChiSquareTest,perform a Pearson chi-square goodness-of-fit test,✅,none,8.0,2734
QBinomial,Computes the Gaussian binomial coefficient (q-analog of binomial),✅,pure,7.0,2734
BetweennessCentrality,betweenness centrality of graph vertices,✅,Computation,8.0,2742
CellEditDuplicate,,🚫,,3.0,2742
CloudEvaluate,,🚫,,10.0,2742
FileExtension,gets the file extension from a path,✅,Computation,7.0,2742
LinearGradientImage,,🚫,,10.0,2742
MeshQualityGoal,,🚫,,10.0,2742
RenderingOptions,,🚫,,4.0,2742
RowSpacings,option for row spacing in grids,✅,Symbolic,3.0,2742
Ask,,🚫,,10.4,2748
BitNot,Returns the bitwise NOT of an integer,✅,pure,4.0,2748
DiscreteWaveletData,Discrete wavelet coefficient object with properties and coefficient access,✅,pure,8.0,2748
LocalClusteringCoefficient,local clustering coefficient of graph vertices,✅,Computation,9.0,2748
MixedRadix,mixed-radix number representation,✅,Symbolic,10.2,2748
TimeSeriesRescale,Carries the time stamps of a series linearly onto a given span keeping the values,✅,pure,10.0,2748
BreadthFirstScan,,🚫,,8.0,2755
CellGrouping,,🚫,,3.0,2755
ImageColorSpace,Returns the color space of an image,✅,pure,8.0,2755
MarkovProcessProperties,,🚫,,9.0,2755
SierpinskiMesh,,🚫,,11.1,2755
SubsetMap,Map a function over a subset of a list at flat/deep/span/Part-style positions and recombine,✅,pure,12.0,2755
XMLObject,represents an XML object,✅,Symbolic,4.2,2755
AbsArgPlot,,🚫,,12.0,2762
BulletGauge,,🚫,,9.0,2762
LeftArrow,left arrow symbol,✅,Symbolic,3.0,2762
ReplicateLayer,,🚫,,11.1,2762
SARIMAProcess,,🚫,,9.0,2762
Yesterday,Returns a DateObject representing the previous calendar day,✅,contextual,10.0,2762
Encrypt,,🚫,,10.1,2767
ImageChannels,Returns the number of channels in an image,✅,pure,7.0,2767
ImageClip,,🚫,,8.0,2767
TakeSmallestBy,Takes the n smallest elements by a criterion; supports the operator form TakeSmallestBy[f;n][list],✅,pure,10.1,2767
WeaklyConnectedComponents,weakly connected components of a graph,✅,Computation,9.0,2767
BarabasiAlbertGraphDistribution,Barabasi-Albert random graph distribution,,unevaluated,8.0,2777
GraphComplement,Complement of a graph,✅,1,8.0,2777
Groupings,Generates all ways to group elements with an operator of given arity,✅,pure,11.0,2777
KochCurve,Generates a Koch fractal curve as a Line primitive,✅,pure,11.1,2777
LocalSymbol,,🚫,,10.2,2777
MorphologicalGraph,,🚫,,8.0,2777
NormalsFunction,option for normals computation,✅,Symbolic,6.0,2777
PassEventsUp,option for passing events up,✅,Symbolic,6.0,2777
ReplacePixelValue,,🚫,,9.0,2777
UnderoverscriptBox,typesetting box for under-overscripts,✅,Symbolic,3.0,2777
CreateFile,Creates a file with a name or a random file in the default area for temporary files,🚧,effectful,10.4,2786
DesignMatrix,Constructs a design matrix by evaluating basis functions at data points,✅,pure,7.0,2786
IntervalUnion,Computes the union of intervals,✅,pure,3.0,2786
LinkClose,,🚫,,3.0,2786
ListSliceContourPlot3D,,🚫,,10.2,2786
Locked,Attribute preventing modification of a symbol,✅,pure,1.0,2786
MeshCellLabel,,🚫,,10.0,2786
StartOfLine,string pattern for start of line,✅,Symbolic,5.1,2786
TimeSeriesAggregate,,🚫,,10.0,2786
AudioLocalMeasurements,Windowed audio measurements as a TimeSeries (25 ms partitions),✅,pure,11.0,2792
DepthFirstScan,,🚫,,8.0,2792
ImageRestyle,,🚫,,11.2,2792
IndependenceTest,,🚫,,9.0,2792
MeanSquaredLossLayer,,🚫,,11.0,2792
TableView,,🚫,,12.1,2792
Tabular,Represents a data frame or table of structured data,✅,pure,14.2,2792
ButterflyGraph,Butterfly graph,✅,1,8.0,2798
DifferenceRoot,,🚫,,7.0,2798
ListPicker,,🚫,,9.0,2798
MeanAround,Computes the mean and uncertainty of Around values,✅,pure,12.0,2798
PeakDetect,Detects peaks in a list of values with optional sharpness filtering,✅,pure,10.0,2798
PrimitiveRoot,Finds a primitive root modulo n,✅,pure,6.0,2798
CellEvaluationFunction,,🚫,,6.0,2807
CurrencyConvert,,🚫,,10.0,2807
ExpandFileName,expand a file name to an absolute path,✅,none,7.0,2807
FortranForm,Format expression as Fortran code with dotted operators and the parentheses ** needs,✅,pure,1.0,2807
OrthogonalMatrixQ,Tests whether a matrix is orthogonal,✅,None,10.0,2807
ParallelCombine,,🚫,,7.0,2807
RandomEntity,,🚫,,10.2,2807
TreeGraphQ,True if graph is a tree,✅,1,8.0,2807
FindHamiltonianPath,Finds a path visiting every vertex once (optionally between two given vertices) or {} when there is none,✅,pure,10.2,2812
GeoCircle,Geodesic circle primitive for GeoGraphics,✅,pure,10.0,2812
HyperbolicDistribution,Hyperbolic distribution with parameters for shape and location,✅,pure,8.0,2812
ImageKeypoints,,🚫,,8.0,2812
SectorSpacing,Option for pie chart sector spacing,✅,pure,7.0,2812
FindEulerianCycle,Find an Eulerian cycle traversing every edge once,✅,pure,8.0,2816
GaborWavelet,Gabor wavelet of a given frequency (continuous complex family),✅,pure,8.0,2816
MultivariateHypergeometricDistribution,,🚫,,8.0,2816
PolarAxesOrigin,Option for the origin of polar axes in polar plots,✅,pure,7.0,2816
HistogramTransform,Equalize the histogram of an image,✅,pure,9.0,2821
Image3DSlices,,🚫,,9.0,2821
ImageDistance,,🚫,,9.0,2821
Modal,,🚫,,6.0,2821
StackedListPlot,Plots datasets with their values stacked cumulatively,✅,pure,11.2,2821
AlphabeticSort,Sorts strings in case-insensitive alphabetical order,✅,pure,10.3,2828
AlternatingGroup,Symbolic alternating group A_n of degree n; stays unevaluated and is consumed by GroupOrder/GroupGenerators/GroupElements,✅,unevaluated,8.0,2828
BoundedRegionQ,,🚫,,10.0,2828
CloudObjects,,🚫,,10.0,2828
Pruning,Remove the outermost branches of thin objects in an image,✅,pure,8.0,2828
SignPadding,Option for the NumberForm family: True puts the sign before the field padding; False (the default) keeps it next to the digits,✅,pure,2.0,2828
TransposeLayer,,🚫,,11.1,2828
ContainsOnly,Tests if a list contains only specified elements,✅,pure,10.2,2837
CoordinateChartData,,🚫,,9.0,2837
Dated,Symbolic wrapper associating a value with a date,✅,pure,11.0,2837
DisjointQ,True if lists share no common elements,✅,pure,10.0,2837
FormObject,,🚫,,10.0,2837
ImageCorrespondingPoints,,🚫,,8.0,2837
PositiveSemidefiniteMatrixQ,Test whether a matrix is positive semidefinite,✅,none,10.0,2837
StringPadLeft,Pads a string on the left to a specified length; a bare list of strings is padded to the longest,✅,pure,10.1,2837
UniformPolyhedron,,🚫,,12.0,2837
ControllableModelQ,,🚫,,8.0,2842
KeyUnion,Extends associations to have the union of all keys with Missing for absent keys,✅,pure,10.0,2842
LinkProtocol,,🚫,,3.0,2842
SpatialGraphDistribution,Spatial random graph distribution,,unevaluated,9.0,2842
UnderoverscriptBoxOptions,,🚫,,4.0,2842
BooleanQ,Tests if an expression is True or False,✅,pure,10.0,2845
IndependentUnit,Represents a user-defined independent unit,✅,pure,9.0,2845
LinkLaunch,,🚫,,3.0,2845
DifferentialRootReduce,,🚫,,7.0,2851
FontVariations,,🚫,,3.0,2851
MathematicalFunctionData,,🚫,,10.3,2851
NominalVariables,,🚫,,7.0,2851
Opener,Opener control element (stays symbolic in script mode),✅,unevaluated,6.0,2851
SpheroidalPSPrime,,🚫,,6.0,2851
ButterworthFilterModel,,🚫,,9.0,2854
CompositeQ,Tests if a number is composite (Listable),✅,pure,10.0,2854
TuringMachine,Simulate a Turing machine on a cyclic or infinite tape,✅,pure,6.0,2854
ColumnWidths,,🚫,,3.0,2867
DayPlus,Adds a number of days to a date returning a DateObject,✅,pure,9.0,2867
DifferenceRootReduce,,🚫,,7.0,2867
GeoLabels,,🚫,,10.0,2867
HankelTransform,,🚫,,11.1,2867
MixedMagnitude,Magnitude list paired with MixedUnit inside Quantity (inert canonical form),✅,pure,10.4,2867
NonNegativeIntegers,Domain of non-negative integers,✅,pure,12.0,2867
SARMAProcess,,🚫,,9.0,2867
ThermometerGauge,,🚫,,9.0,2867
TransformationClass,,🚫,,10.0,2867
UndirectedGraphQ,True if all edges are undirected,✅,1,8.0,2867
WordDefinition,,🚫,,10.3,2867
QGamma,q-analog of the gamma function,✅,pure,7.0,2871
SiegelTheta,,🚫,,6.0,2871
VertexEccentricity,Maximum distance from a vertex,✅,1,8.0,2871
ArcCurvature,Compute the curvature of a parametric curve,✅,pure,10.0,2880
ArcSinDistribution,Represents an arcsine distribution on an interval,✅,pure,8.0,2880
CoordinateBoundsArray,Array of coordinate bounds with optional padding,✅,1,10.1,2880
FourierSequenceTransform,,🚫,,7.0,2880
NormFunction,,🚫,,5.0,2880
PIDTune,,🚫,,9.0,2880
PairedSmoothHistogram,,🚫,,9.0,2880
PrimitiveRootList,List of primitive roots modulo n,✅,none,10.0,2880
RefreshRate,,🚫,,6.0,2880
AlphabeticOrder,Compare strings in alphabetical order,✅,none,10.3,2889
AsymptoticIntegrate,Compute the asymptotic series of an integral or antiderivative,✅,pure,11.3,2889
DerivativeFilter,,🚫,,8.0,2889
DifferenceDelta,Compute the forward difference of an expression,✅,pure,7.0,2889
GraphPeriphery,Vertices with maximum eccentricity,✅,1,8.0,2889
HankelMatrix,Hankel matrix from a list,✅,none,6.0,2889
MaxLimit,Compute the largest limiting value from above,✅,pure,11.2,2889
QueueingNetworkProcess,,🚫,,9.0,2889
ReadLine,Read a single line from a stream or file,✅,io,10.0,2889
DeviceRead,,🚫,,10.0,2894
Insphere,Compute the inscribed sphere of a geometric region,✅,pure,10.2,2894
LocalObject,,🚫,,10.2,2894
WeatherForecastData,,🚫,,10.4,2894
FindGeoLocation,,🚫,,7.0,2900
MangoldtLambda,Von Mangoldt function (Listable),✅,pure,7.0,2900
NoncentralFRatioDistribution,Noncentral F-ratio distribution with PDF Mean and Variance,✅,pure,6.0,2900
ProcessEstimator,,🚫,,9.0,2900
SessionSubmit,,🚫,,11.2,2900
CantorStaircase,Compute the Cantor staircase (devil's staircase) function,✅,pure,10.0,2911
CosineDistance,Cosine distance between vectors,✅,none,6.0,2911
DifferenceQuotient,Compute the forward difference quotient of an expression,✅,pure,10.4,2911
EntityFunction,,🚫,,12.0,2911
FaceGridsStyle,Option for Graphics3D specifying the style of face grids,✅,pure,6.0,2911
FindMaximumFlow,Find the maximum flow between two vertices in a graph,✅,pure,9.0,2911
HodgeDual,,🚫,,9.0,2911
JohnsonDistribution,Johnson system of distributions with four families (SB/SL/SN/SU),✅,pure,8.0,2911
LeaderSize,,🚫,,11.0,2911
ListDensityPlot3D,,🚫,,10.2,2911
ShortRightArrow,,🚫,,3.0,2911
ColumnLines,,🚫,,3.0,2914
DatedUnit,Associates a unit with a specific date for time-aware calculations,✅,pure,10.0,2914
QuantityQ,Tests if an expression is a quantity,✅,pure,9.0,2914
ContainsNone,Test if none of the elements of the second list appear in the first,✅,pure,10.2,2921
CrossEntropyLossLayer,,🚫,,11.0,2921
GaugeStyle,,🚫,,9.0,2921
QuantityDistribution,Probability distribution with physical units,✅,pure,10.4,2921
SequenceCount,Count occurrences of a subsequence (non-overlapping by default; Overlaps option); subsequence elements may be patterns including BlankSequence (__h),✅,none,10.1,2921
SpheroidalS2Prime,,🚫,,6.0,2921
UniformGraphDistribution,Uniform random graph distribution,,unevaluated,8.0,2921
DateListStepPlot,,🚫,,10.3,2929
EarthquakeData,,🚫,,10.0,2929
ExcludedForms,Option to specify patterns excluded from an operation,✅,pure,3.0,2929
FindIntegerNullVector,Finds integer linear relations among real numbers using LLL,✅,pure,8.0,2929
GeoWithinQ,,🚫,,10.0,2929
LinkConnect,,🚫,,3.0,2929
SpheroidalS1Prime,,🚫,,6.0,2929
StringEndsQ,Checks if a string ends with a specific substring; supports the one-argument operator form,✅,pure,10.1,2929
DiffusionPDETerm,Represents a diffusion PDE term div(c*grad(u)),✅,pure,12.2,2944
FindGraphIsomorphism,Finds vertex mapping between isomorphic graphs,✅,pure,8.0,2944
FindSpanningTree,Finds a minimum spanning tree of a graph using Kruskal's algorithm,✅,pure,10.0,2944
MinLimit,Compute the smallest limiting value from below,✅,pure,11.2,2944
NormalizedSquaredEuclideanDistance,Normalized squared Euclidean distance between vectors,✅,1,8.0,2944
PermutationPower,Power of a permutation,✅,1,8.0,2944
RegionWithin,Tests if one geometric region is contained within another,✅,pure,11.1,2944
SequenceAlignment,Aligns two sequences showing matches and differences,✅,pure,7.0,2944
SpheroidalQSPrime,,🚫,,6.0,2944
